Symptoms,Disease
Abdominal pain fatigue diarrhea flushing of the skin nausea,Neuroendocrine Tumours (NETs)
dizziness but may include headaches sometimes nosebleeds blurred vision Often no symptoms shortness of breath fatigue,High Blood Pressure (Hypertension)
Open sore on the skin surrounding skin tenderness dark or dead tissue foul smell in infected ulcers fluid discharge redness swelling,Skin Ulcer
rapid dehydration low blood pressure weakness Profuse watery diarrhea,Cholera
itching Fever gradual enlargement of the patch,Tinea Corporis (Ringworm)
hair loss in affected areas scaling,Ringworm and Other Fungal Infections
commonly on sun-exposed areas non-healing sores red patches ulcerated lesions,Skin Cancer (Non-Melanoma)
burning sensation silvery-white flakes,Skin and Scalp Psoriasis
chest tightness wheezing shortness of breath recurrent lung infections Chronic cough sometimes coughing up blood,Bronchiectasis
abdominal cramps sometimes fever urgency to pass stool nausea Frequent loose or watery stools,Diarrhoea
frequent urination in some cases no noticeable symptoms fatigue sugar in urine during tests Increased thirst,Diabetes in Pregnancy
sound fatigue nausea,Migraine
chest pain chronic cough persistent heartburn Difficulty swallowing weight loss,Oesophageal Cancer
Episodes of severe pain (pain crises) vision problems frequent infections delayed growth in children,Sickle Cell Disease
nasal congestion general respiratory uneasiness mild cough slight chest discomfort sneezing throat irritation Mild breathing difficulty,Upper Respiratory Tract Infection (URTI)
reduced range of motion mild fever general feeling of illness especially in the morning neck fatigue stiffness in the shoulders,Polymyalgia Rheumatica (PMR)
difficulty sleeping twitching or jerking of legs during rest symptoms worsening at night strong urge to move legs Uncomfortable sensations in the legs temporary relief with movement,Restless Legs Syndrome
difficulty swallowing a feeling of something stuck in the throat,Tonsil Stones
night sweats fever frequent infections Painless swollen lymph nodes weight loss,Non-Hodgkin Lymphoma in Children
oval scaly patch on the skin Fever headache slightly raised borders,Tinea Corporis (Ringworm)
blurred vision Headaches dizziness fatigue enlarged spleen a feeling of fullness in the left upper abdomen,Polycythemia Vera
situation trembling Intense fear or anxiety triggered by a specific object shortness of breath avoidance behavior sweating rapid heartbeat or activity feeling out of control,Phobia
headaches eye strain squinting to see far objects Blurred distance vision,Myopia (Nearsightedness)
fractures from minor injuries fatigue reduced movement Bone pain (often worsening at night),Osteosarcoma
dry cough headache High fever fatigue sometimes vomiting or diarrhea,Influenza
signs of dehydration such as dry mouth or dizziness abdominal cramps,Gastroenteritis
Numbness in severe cases difficulty walking muscle weakness burning or sharp pain in hands or feet sensitivity to touch tingling,Peripheral Neuropathy
frequent urination Increased thirst recurrent infections,Diabetes
bleeding fatigue,Rare Tumours
restlessness Excessive worry trouble sleeping difficulty concentrating sweating,Mental Anxiety Disorder
fatigue night sweats abdominal swelling or discomfort chest pain or cough,Non-Hodgkin Lymphoma
Brown or dark vaginal discharge mild abdominal cramping sometimes mild odor depending on the cause light bleeding at the start or end of a period,Brown Discharge
a visible small tear near the anus burning sensation bright red blood on toilet paper or stool itching Sharp pain during or after bowel movements,Anal Fissures
easy bruising loss of appetite dark urine weight loss abdominal swelling,Cirrhosis
agitation disorientation,Delirium
prolonged menstrual bleeding severe cramping passing large clots Bleeding between periods,Abnormal Uterine Bleeding
rough or scaly texture irritation,Eczema (Atopic Dermatitis)
Red swollen gums bleeding while brushing persistent bad taste in the mouth bad breath receding gums loose teeth,Gum Disease
Hallucinations impaired daily functioning delusions confused thinking,Schizophrenia
fatigue dizziness irritability difficulty concentrating Headaches mood changes such as anxiety or depression,Post-Concussion Syndrome (PCS)
heightened startle response avoidance of places or reminders of the trauma irritability intrusive memories emotional numbness negative mood changes Flashbacks difficulty sleeping trouble concentrating nightmares,Post-Traumatic Stress Disorder (PTSD)
foul smell in infected ulcers dark or dead tissue pain redness slow healing fluid discharge,Skin Ulcer
Persistent cough breathing difficulty fatigue fever wheezing,Lower Respiratory Tract Infection (LRTI)
Upper abdominal discomfort bloating fullness after eating gas,Indigestion
A painless lump or swelling in one testicle sudden fluid buildup heaviness in the scrotum,Testicular Cancer: Teenagers and Young Adults
tenderness swelling fever in severe cases Red possible spreading to nearby skin painful lump on the skin warmth,Boils on Skin
increased vaginal or penile discharge pelvic pain bleeding between periods swollen testicles Painful urination rectal discomfort if rectal infection occurs sore throat after oral sex,Gonorrhoea
itching or tingling before hair loss nail pitting or ridges Sudden patchy hair loss on the scalp or other body parts,Alopecia Areata
dark or dead tissue foul smell in infected ulcers slow healing surrounding skin tenderness redness swelling Open sore on the skin fluid discharge pain,Skin Ulcer
jaundice itchy skin weight loss leg swelling dark urine confusion abdominal swelling,Cirrhosis
numbness unexplained bleeding weight loss Persistent mouth sores lumps or thickening in the mouth,Mouth Cancer
Abdominal swelling or mass weight loss loss of appetite bone pain weakness changes in bowel or bladder habits fever dark circles around the eyes,Neuroblastoma (Childhood Tumour)
poor concentration irritability fatigue brittle nails delayed wound healing weakness dry skin dizziness Weight loss hair loss frequent infections,Malnutrition
bleeding A lump or growth on the penis changes in skin color or thickness,Penile Cancer
dull ache in the lower abdomen or groin sudden fluid buildup in the scrotum A painless lump or swelling in one testicle breast tenderness feeling of heaviness in the scrotum back pain in advanced cases,Testicular Cancer
dizziness red or flushed skin a feeling of fullness in the left upper abdomen blurred vision,Polycythemia Vera
drowsiness vomiting rash in some cases Severe headache seizures sensitivity to light stiff neck,Meningitis
decreased fetal movements Heavy vaginal bleeding fluid leakage severe abdominal or back pain passing tissue or clots,Late Miscarriage
swelling or lumps near the anus itching or irritation around the anus bleeding after passing stool mucus discharge,Piles
itching non-healing sores ulcerated lesions scaly or crusty areas red patches,Skin Cancer (Non-Melanoma)
sweating fatigue nausea muscle aches High fever with chills headache vomiting sometimes diarrhea or jaundice,Malaria
personality or behavior changes difficulty speaking,Brain Tumours
symptoms worsening at night twitching or jerking of legs during rest temporary relief with movement,Restless Legs Syndrome
the foot returning toward normal position when gently moved flexible foot position no pain normal leg movement Foot turned inward or outward at birth,Positional Talipes in Children and Young People
runny nose High fever red watery eyes cough a red blotchy skin rash that spreads from the face downward small white spots inside the mouth (Koplik spots),Measles
weight loss night sweats coughing up blood Persistent cough for more than 2–3 weeks chest pain fatigue,Tuberculosis
memory problems restlessness disorientation rapid mood changes agitation Sudden confusion,Delirium
leg pain while walking fatigue shortness of breath numbness or weakness,Atherosclerosis
swelling discomfort when sitting,Tailbone Pain
swollen lymph nodes or anus mouth tingling before outbreaks body aches during initial infection Painful blisters or sores on the lips genitals,Herpes
throat irritation dry or sore throat loss of voice Hoarse voice dry cough difficulty speaking,Laryngitis
fatigue shortness of breath sometimes swelling in legs or abdomen palpitations Sharp chest pain that may worsen with deep breathing or lying down,Pericarditis
easy bruising or bleeding fatigue anaemia symptoms Pain or fullness in the upper left abdomen,Spleen Problems and Spleen Removal (Splenectomy)
Painless or painful growing lump limited movement of the affected area,Soft Tissue Sarcomas in Teenagers and Young Adults
Pain difficulty elevating arm beyond 180 degrees localized tenderness over the bicipital groove,Bicipital Tendonitis (Right Shoulder)
